Wed Jan 13 16:50:27 2021 [R] : 0.5033612750147937, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5033612750147937, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5065561613921696, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5065561613921696, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5095818709301165, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5095818709301165, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5124361028823194, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5124361028823194, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5151170962271222, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5151170962271222, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5176236851828021, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5199553547738637, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5176236851828021, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5221122953533519, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5199553547738637, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5240954548288341, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5221122953533519, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5259065871811793, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5240954548288341, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5259065871811793, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5275482957100582, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5275482957100582, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5290237768193561, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5290237768193561, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5303373547378061, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5303373547378061, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5314945116245517, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5314945116245517, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5325016432646179, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5325016432646179, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5333660483750841, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5333660483750841, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5340959011803809, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5340959011803809, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5347002053462082, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5347002053462082, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5351887275529924, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5351887275529924, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5394879976242042, [LC] : 0, [DC] : -25
Wed Jan 13 16:50:27 2021 [R] : 0.5394879976242042, [LC] : 0, [DC] : -25
Wed Jan 13 16:50:27 2021 [R] : 0.5394523832396648, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5394523832396648, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5393616264572193, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5393616264572193, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5392249436368559, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5392249436368559, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5390518943264421, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5390518943264421, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.538852151905412, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.538852151905412, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5386352634911264, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5386352634911264, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5384104028847748, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5384104028847748, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.538186121842111, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.538186121842111, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5379701063635012, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5377689459118886, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5379701063635012, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5375879243717436, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5374308420339573, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5377689459118886, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5372998778137478, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5371955001867396, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5375879243717436, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5371164339096128, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5374308420339573, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5370596874818168, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5370206435805349, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5372998778137478, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5369932115147693, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5371955001867396, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5369700373181794, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5369427637085323, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5371164339096128, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5369023290829257, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5370596874818168, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5368392922799672, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.536744168262386, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5370206435805349, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.536607759314599, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5369932115147693, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5364214668645056, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5369700373181794, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5361775705705539, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5369427637085323, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.535869463703753, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5369023290829257, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5354918368590652, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5368392922799672, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.535040805363336, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.536744168262386, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5345139791097568, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.536607759314599, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5339104766698497, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5364214668645056, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5332308881953466, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5361775705705539, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.532477193677922, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.535869463703753, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.531652644515408, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5354918368590652, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5307616170415812, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.535040805363336, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.529809446774101, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5345139791097568, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5326670478102229, [LC] : 0, [DC] : -25
Wed Jan 13 16:50:27 2021 [R] : 0.5339104766698497, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5312792818497739, [LC] : 0, [DC] : -30
